0,-5,85,90,0,5.126193523406982
-2,-5,85,90,0,0.0512089729309082
-7,-5,85,90,0,0.08073616027832031
-16,-5,85,90,0,0.0518035888671875
-25,-5,85,90,0,0.12144970893859863
-31,-5,85,90,0,0.21403145790100098
-30,-5,85,90,0,0.6829886436462402
-18,-5,85,90,0,0.09126758575439453
-6,-5,85,90,0,0.1536271572113037
4,-5,85,90,0,0.1515507698059082
7,-5,85,90,0,0.19332385063171387
7,-7,85,90,0,1.2965431213378906
7,-16,85,90,0,0.12186551094055176
7,-25,85,90,0,0.1523756980895996
7,-25,85,87,0,2.190023422241211
7,-25,85,75,0,0.12138509750366211
7,-25,85,63,0,0.15261197090148926
7,-25,85,51,0,0.15356779098510742
7,-25,85,47,0,0.19240522384643555
7,-25,85,48,0,1.1714050769805908
7,-25,85,57,0,0.08129000663757324
7,-25,85,66,0,0.15236759185791016
7,-25,85,72,0,0.21292853355407715
7,-25,85,72,1,0.8757522106170654
7,-25,85,72,0,0.15301823616027832
7,-25,85,72,1,0.8949780464172363
7,-25,85,72,0,1.0269911289215088
7,-25,85,72,1,0.18233919143676758
7,-25,85,72,0,1.1996169090270996
3,-25,85,72,0,2.180828332901001
-6,-25,85,72,0,0.13288497924804688
-9,-25,85,72,0,0.16196751594543457
-9,-25,85,71,0,1.8545548915863037
-9,-25,85,60,0,0.08246898651123047
-9,-25,85,48,0,0.15111064910888672
-9,-25,85,36,0,0.15346527099609375
-9,-25,85,38,0,1.1195719242095947
-9,-25,85,47,0,0.12138962745666504
-9,-25,85,56,0,0.15299630165100098
-9,-25,85,65,0,0.1514911651611328
-9,-25,85,74,0,0.16314005851745605
-9,-25,85,83,0,0.15201592445373535
-9,-25,85,90,0,0.15406107902526855
-9,-25,85,90,0,0.15165400505065918
